Consumption (kWh), Start, End
0.39600000000000000000, 2023-01-01T00:00:00+00:00, 2023-01-01T00:30:00+00:00
0.17200000000000000000, 2023-01-01T00:30:00+00:00, 2023-01-01T01:00:00+00:00
0.16600000000000000000, 2023-01-01T01:00:00+00:00, 2023-01-01T01:30:00+00:00
0.26800000000000000000, 2023-01-01T01:30:00+00:00, 2023-01-01T02:00:00+00:00
0.74900000000000000000, 2023-01-01T02:00:00+00:00, 2023-01-01T02:30:00+00:00
0.06600000000000000000, 2023-01-01T02:30:00+00:00, 2023-01-01T03:00:00+00:00
0.06700000000000000000, 2023-01-01T03:00:00+00:00, 2023-01-01T03:30:00+00:00
0.06100000000000000000, 2023-01-01T03:30:00+00:00, 2023-01-01T04:00:00+00:00
0.10000000000000000000, 2023-01-01T04:00:00+00:00, 2023-01-01T04:30:00+00:00
0.03800000000000000000, 2023-01-01T04:30:00+00:00, 2023-01-01T05:00:00+00:00
0.04000000000000000000, 2023-01-01T05:00:00+00:00, 2023-01-01T05:30:00+00:00
0.04000000000000000000, 2023-01-01T05:30:00+00:00, 2023-01-01T06:00:00+00:00
0.03500000000000000000, 2023-01-01T06:00:00+00:00, 2023-01-01T06:30:00+00:00
0.04100000000000000000, 2023-01-01T06:30:00+00:00, 2023-01-01T07:00:00+00:00
0.03400000000000000000, 2023-01-01T07:00:00+00:00, 2023-01-01T07:30:00+00:00
0.04000000000000000000, 2023-01-01T07:30:00+00:00, 2023-01-01T08:00:00+00:00
0.03500000000000000000, 2023-01-01T08:00:00+00:00, 2023-01-01T08:30:00+00:00
0.12100000000000000000, 2023-01-01T08:30:00+00:00, 2023-01-01T09:00:00+00:00
0.13400000000000000000, 2023-01-01T09:00:00+00:00, 2023-01-01T09:30:00+00:00
0.22700000000000000000, 2023-01-01T09:30:00+00:00, 2023-01-01T10:00:00+00:00
0.40500000000000000000, 2023-01-01T10:00:00+00:00, 2023-01-01T10:30:00+00:00
0.24700000000000000000, 2023-01-01T10:30:00+00:00, 2023-01-01T11:00:00+00:00
0.25500000000000000000, 2023-01-01T11:00:00+00:00, 2023-01-01T11:30:00+00:00
0.49600000000000000000, 2023-01-01T11:30:00+00:00, 2023-01-01T12:00:00+00:00
0.11900000000000000000, 2023-01-01T12:00:00+00:00, 2023-01-01T12:30:00+00:00
0.20000000000000000000, 2023-01-01T12:30:00+00:00, 2023-01-01T13:00:00+00:00
0.38500000000000000000, 2023-01-01T13:00:00+00:00, 2023-01-01T13:30:00+00:00
0.10000000000000000000, 2023-01-01T13:30:00+00:00, 2023-01-01T14:00:00+00:00
0.10500000000000000000, 2023-01-01T14:00:00+00:00, 2023-01-01T14:30:00+00:00
0.42900000000000000000, 2023-01-01T14:30:00+00:00, 2023-01-01T15:00:00+00:00
0.37100000000000000000, 2023-01-01T15:00:00+00:00, 2023-01-01T15:30:00+00:00
0.67800000000000000000, 2023-01-01T15:30:00+00:00, 2023-01-01T16:00:00+00:00
0.34100000000000000000, 2023-01-01T16:00:00+00:00, 2023-01-01T16:30:00+00:00
0.36300000000000000000, 2023-01-01T16:30:00+00:00, 2023-01-01T17:00:00+00:00
0.36400000000000000000, 2023-01-01T17:00:00+00:00, 2023-01-01T17:30:00+00:00
0.99400000000000000000, 2023-01-01T17:30:00+00:00, 2023-01-01T18:00:00+00:00
0.50400000000000000000, 2023-01-01T18:00:00+00:00, 2023-01-01T18:30:00+00:00
0.31400000000000000000, 2023-01-01T18:30:00+00:00, 2023-01-01T19:00:00+00:00
0.30900000000000000000, 2023-01-01T19:00:00+00:00, 2023-01-01T19:30:00+00:00
2.5150000000000000, 2023-01-01T19:30:00+00:00, 2023-01-01T20:00:00+00:00
0.24700000000000000000, 2023-01-01T20:00:00+00:00, 2023-01-01T20:30:00+00:00
2.8770000000000000, 2023-01-01T20:30:00+00:00, 2023-01-01T21:00:00+00:00
0.12500000000000000000, 2023-01-01T21:00:00+00:00, 2023-01-01T21:30:00+00:00
0.11100000000000000000, 2023-01-01T21:30:00+00:00, 2023-01-01T22:00:00+00:00
0.09700000000000000000, 2023-01-01T22:00:00+00:00, 2023-01-01T22:30:00+00:00
0.25900000000000000000, 2023-01-01T22:30:00+00:00, 2023-01-01T23:00:00+00:00
0.09400000000000000000, 2023-01-01T23:00:00+00:00, 2023-01-01T23:30:00+00:00
0.13100000000000000000, 2023-01-01T23:30:00+00:00, 2023-01-02T00:00:00+00:00
0.08900000000000000000, 2023-01-02T00:00:00+00:00, 2023-01-02T00:30:00+00:00
0.08100000000000000000, 2023-01-02T00:30:00+00:00, 2023-01-02T01:00:00+00:00
0.08300000000000000000, 2023-01-02T01:00:00+00:00, 2023-01-02T01:30:00+00:00
0.07800000000000000000, 2023-01-02T01:30:00+00:00, 2023-01-02T02:00:00+00:00
0.10200000000000000000, 2023-01-02T02:00:00+00:00, 2023-01-02T02:30:00+00:00
0.04000000000000000000, 2023-01-02T02:30:00+00:00, 2023-01-02T03:00:00+00:00
0.03600000000000000000, 2023-01-02T03:00:00+00:00, 2023-01-02T03:30:00+00:00
